name,position,team,cost
Dan Burn,DEF,Newcastle,5.0
Emil Krafth,DEF,Newcastle,4.3
Fabian Schar,DEF,Newcastle,5.2
Harrison Ashby,DEF,Newcastle,3.9
Jamaal Lascelles,DEF,Newcastle,4.3
Kieran Trippier,DEF,Newcastle,4.9
Leo Shahar,DEF,Newcastle,4.0
Lewis Hall,DEF,Newcastle,5.3
Malick Thiaw,DEF,Newcastle,5.0
Matt Targett,DEF,Newcastle,4.0
Miodrag Pivaš,DEF,Newcastle,3.8
Sven Botman,DEF,Newcastle,4.9
Tino Livramento,DEF,Newcastle,4.9
Anthony Elanga,MID,Newcastle,6.5
Anthony Gordon,MID,Newcastle,7.2
Antoñito Cordero Campillo,MID,Newcastle,4.9
Bruno Guimaraes,MID,Newcastle,6.9
Garang Kuol,MID,Newcastle,4.4
Harvey Barnes,MID,Newcastle,6.1
Isaac Hayden,MID,Newcastle,4.5
Jacob Murphy,MID,Newcastle,5.9
Jacob Ramsey,MID,Newcastle,5.3
Joe White,MID,Newcastle,4.5
Joe Willock,MID,Newcastle,5.0
Joelinton,MID,Newcastle,5.9
Lewis Miley,MID,Newcastle,4.5
Sam Alabi,MID,Newcastle,4.5
Sandro Tonali,MID,Newcastle,5.3
Seung-Soo Park,MID,Newcastle,4.3
Nick Woltemade,FWD,Newcastle,6.9
Sean Neave,FWD,Newcastle,4.3
William Osula,FWD,Newcastle,5.4
Yoane Wissa,FWD,Newcastle,7.3
Angus Gunn,GK,Nott'm Forest,4.0
Carlos Miguel dos Santos Pereira,GK,Nott'm Forest,4.0
John Victor Maciel Furtado,GK,Nott'm Forest,4.0
Matt Turner,GK,Nott'm Forest,4.0
Matz Sels,GK,Nott'm Forest,4.6
Stefan Ortega Moreno,GK,Nott'm Forest,4.7
David Mota Veiga Teixeira do Carmo,DEF,Nott'm Forest,4.5
Felipe Rodrigues da Silva,DEF,Nott'm Forest,4.3
Jair Paula da Cunha Filho,DEF,Nott'm Forest,4.2
Luca Netz,DEF,Nott'm Forest,4.5
Luis Eduardo Soares da Silva,DEF,Nott'm Forest,4.5
Murillo dos Santos,DEF,Nott'm Forest,5.2
Neco Williams,DEF,Nott'm Forest,4.7
Nicolo Savona,DEF,Nott'm Forest,4.5
Nikola Milenkovic,DEF,Nott'm Forest,5.1
Ola Aina,DEF,Nott'm Forest,4.7
Oleksandr Zinchenko,DEF,Nott'm Forest,4.9
