Season,Gameweek,Source,Team,Player
2026-2027,1,Curated,Hull City,Jens Hjertø-Dahl
2026-2027,1,Curated,Hull City,Nobel Mendy
2026-2027,1,Curated,Ipswich Town,Dara O'Shea
2026-2027,1,Curated,Ipswich Town,Jacob Greaves
2026-2027,1,Curated,Ipswich Town,Daizen Maeda
2026-2027,1,Curated,Ipswich Town,Leif Davis
2026-2027,1,Curated,Ipswich Town,Issa Diop
2026-2027,1,Curated,Ipswich Town,Emersonn Correia da Silva
2026-2027,1,Curated,Ipswich Town,Sasa Lukic
2026-2027,1,Curated,Ipswich Town,Kjell Scherpen
2026-2027,1,Curated,Ipswich Town,Abdul Fatawu
2026-2027,1,Curated,Ipswich Town,Marcelino Núñez
2026-2027,1,Curated,Ipswich Town,Sindre Walle Egeli
2026-2027,1,Curated,Leeds,Ethan Ampadu
2026-2027,1,Curated,Leeds,James Trafford
2026-2027,1,Curated,Leeds,Jayden Bogle
2026-2027,1,Curated,Leeds,Dominic Calvert-Lewin
2026-2027,1,Curated,Leeds,Joe Rodon
2026-2027,1,Curated,Leeds,Jaka Bijol
2026-2027,1,Curated,Leeds,Tarik Muharemović
2026-2027,1,Curated,Leeds,James Justin
2026-2027,1,Curated,Leeds,Anton Stach
2026-2027,1,Curated,Leeds,Harry Wilson
2026-2027,1,Curated,Leeds,Brenden Aaronson
2026-2027,1,Curated,Liverpool,Jeremie Frimpong
2026-2027,1,Curated,Liverpool,Milos Kerkez
2026-2027,1,Curated,Liverpool,Alexander Isak
2026-2027,1,Curated,Liverpool,Alisson Becker
2026-2027,1,Curated,Liverpool,Virgil van Dijk
2026-2027,1,Curated,Liverpool,Ryan Gravenberch
2026-2027,1,Curated,Liverpool,Florian Wirtz
2026-2027,1,Curated,Liverpool,Rio Ngumoha
2026-2027,1,Curated,Liverpool,Dominik Szoboszlai
2026-2027,1,Curated,Liverpool,Cody Gakpo
2026-2027,1,Curated,Liverpool,Jeremy Jacquet
2026-2027,1,Curated,Man City,Antoine Semenyo
2026-2027,1,Curated,Man City,Gianluigi Donnarumma
2026-2027,1,Curated,Man City,Erling Haaland
2026-2027,1,Curated,Man City,Phil Foden
2026-2027,1,Curated,Man City,Ruben Dias
2026-2027,1,Curated,Man City,Elliot Anderson
2026-2027,1,Curated,Man City,Josko Gvardiol
2026-2027,1,Curated,Man City,Nico O'Reilly
2026-2027,1,Curated,Man City,Mateo Kovačić
2026-2027,1,Curated,Man City,Rayan Cherki
2026-2027,1,Curated,Man City,Matheus Nunes
2026-2027,1,Curated,Man Utd,Harry Maguire
2026-2027,1,Curated,Man Utd,Bruno Fernandes
2026-2027,1,Curated,Man Utd,Senne Lammens
2026-2027,1,Curated,Man Utd,Amad Diallo
2026-2027,1,Curated,Man Utd,Andrey Santos
2026-2027,1,Curated,Man Utd,Youri Tielemans
2026-2027,1,Curated,Man Utd,Bryan Mbeumo
2026-2027,1,Curated,Man Utd,Diogo Dalot
2026-2027,1,Curated,Man Utd,Luke Shaw
2026-2027,1,Curated,Man Utd,Ayden Heaven
2026-2027,1,Curated,Man Utd,Matheus Cunha
2026-2027,1,Curated,Newcastle,Sven Botman
2026-2027,1,Curated,Newcastle,Malick Thiaw
2026-2027,1,Curated,Newcastle,Lewis Hall
2026-2027,1,Curated,Newcastle,Amar Dedic
2026-2027,1,Curated,Newcastle,Lukás Hornícek
2026-2027,1,Curated,Newcastle,Anthony Elanga
2026-2027,1,Curated,Newcastle,Yoane Wissa
2026-2027,1,Curated,Newcastle,Jacob Ramsey
2026-2027,1,Curated,Newcastle,William Osula
2026-2027,1,Curated,Newcastle,Harvey Barnes
2026-2027,1,Curated,Newcastle,Aladji Bamba
2026-2027,1,Curated,Nott'm Forest,Neco Williams
